sex,race,region,urban,gifted,ice_cream,earningsat25
male,Black,1,1,0,None,15000
male,Black,1,1,0,Chocolate,27000
female,Black,1,1,0,Chocolate,0
female,Black,1,1,0,Chocolate,10000
female,Hispanic,1,1,0,Vanilla,17388
female,Not Black/Hispanic,1,1,1,Chocolate,5000
male,Black,1,1,0,Chocolate,16000
male,Black,1,1,0,Butter Pecan,53000
female,Black,1,1,0,None,16000
male,Not Black/Hispanic,1,1,0,Chocolate,7000
female,Black,1,1,0,None,33000
male,Black,1,1,0,Vanilla,12000
female,Black,1,1,0,Strawberry,0
male,Black,1,1,0,Chocolate,0
male,Black,1,1,0,Vanilla,0
male,Black,1,1,0,Strawberry,0
male,Black,1,1,0,Butter Pecan,2000
male,Black,1,1,0,Chocolate,0
female,Black,1,1,0,Butter Pecan,38000
male,Black,1,1,0,Chocolate,0
male,Black,1,1,0,None,25000
female,Black,1,1,0,None,0
male,Black,1,1,1,Chocolate,0
male,Not Black/Hispanic,1,1,0,Chocolate,16000
male,Not Black/Hispanic,1,1,0,Chocolate,34000
male,Not Black/Hispanic,1,1,1,Vanilla,30000
female,Hispanic,1,1,0,Strawberry,0
female,Not Black/Hispanic,1,1,0,None,0
male,Hispanic,1,1,0,Vanilla,0
male,Black,1,1,0,Vanilla,0
female,Black,1,1,0,Vanilla,0
male,Hispanic,1,1,0,Strawberry,23000
male,Hispanic,1,1,0,Strawberry,15000
female,Hispanic,1,1,0,"",0
male,Not Black/Hispanic,1,1,0,Vanilla,22000
female,Not Black/Hispanic,1,1,1,Vanilla,0
male,Hispanic,1,1,0,Vanilla,0
male,Not Black/Hispanic,1,1,0,Chocolate,0
male,Not Black/Hispanic,1,1,1,Chocolate,15000
male,Hispanic,1,1,0,Chocolate,25000
female,Hispanic,1,1,0,Vanilla,38000
male,Not Black/Hispanic,1,1,0,Vanilla,0
male,Hispanic,1,1,0,Chocolate,25000
female,Black,1,1,0,Chocolate,31500
male,Hispanic,1,1,0,Chocolate,0
male,Not Black/Hispanic,1,1,0,Chocolate,0
male,Hispanic,1,1,0,Vanilla,48000
male,Not Black/Hispanic,1,1,0,Vanilla,0
male,Hispanic,1,1,0,Chocolate,0
female,Black,1,1,0,Vanilla,15000
female,Black,1,1,0,Chocolate,0
female,Hispanic,1,1,0,Vanilla,0
female,Hispanic,1,1,0,Chocolate,0
female,Not Black/Hispanic,1,1,0,Vanilla,35000
male,Not Black/Hispanic,1,1,0,Chocolate,42000
male,Not Black/Hispanic,1,1,0,Vanilla,0
female,Not Black/Hispanic,1,1,1,None,57000
male,Not Black/Hispanic,1,1,1,Chocolate,47000
female,Not Black/Hispanic,1,1,1,Chocolate,44000
female,Not Black/Hispanic,1,1,0,Chocolate,45000
female,Not Black/Hispanic,1,1,0,Vanilla,0
female,Not Black/Hispanic,1,1,0,Chocolate,0
male,Not Black/Hispanic,1,1,0,Vanilla,2000
female,Not Black/Hispanic,1,1,0,None,0
female,Hispanic,1,1,0,Vanilla,0
male,Black,1,2,0,Chocolate,18000
male,Black,1,2,0,Vanilla,25000
male,Not Black/Hispanic,1,1,0,Chocolate,28000
male,Not Black/Hispanic,1,1,0,Vanilla,0
male,Not Black/Hispanic,1,1,0,Butter Pecan,0
male,Not Black/Hispanic,1,1,1,Vanilla,0
male,Not Black/Hispanic,1,1,0,Chocolate,26000
male,Not Black/Hispanic,1,1,0,Chocolate,0
male,Not Black/Hispanic,1,1,0,Chocolate,0
female,Not Black/Hispanic,1,1,0,None,0
male,Not Black/Hispanic,1,1,0,Chocolate,48000
female,Not Black/Hispanic,1,1,1,None,45000
female,Not Black/Hispanic,1,1,1,Butter Pecan,38000
female,Not Black/Hispanic,1,1,1,Strawberry,0
female,Not Black/Hispanic,1,1,0,Strawberry,0
male,Not Black/Hispanic,1,1,1,Chocolate,0
male,Not Black/Hispanic,1,1,1,Chocolate,44000
male,Not Black/Hispanic,1,1,1,Vanilla,61000
male,Not Black/Hispanic,1,1,0,Vanilla,0
male,Not Black/Hispanic,1,1,0,Strawberry,35000
female,Not Black/Hispanic,1,1,1,Vanilla,0
female,Not Black/Hispanic,1,1,0,Butter Pecan,40000
male,Not Black/Hispanic,1,1,0,None,0
female,Not Black/Hispanic,1,1,1,Vanilla,0
male,Hispanic,1,1,0,Chocolate,0
female,Not Black/Hispanic,1,1,0,Vanilla,0
female,Not Black/Hispanic,1,1,0,Vanilla,0
male,Black,1,1,0,Strawberry,0
male,Black,1,1,1,Butter Pecan,18000
male,Black,1,1,0,Strawberry,43000
male,Black,1,1,0,Chocolate,30000
female,Not Black/Hispanic,1,1,1,Butter Pecan,0
female,Black,1,1,0,Chocolate,0
female,Black,1,1,0,Butter Pecan,0
male,Black,1,1,0,Butter Pecan,17000
female,Black,1,1,0,Strawberry,0
male,Black,1,1,0,Strawberry,19000
female,Black,1,1,0,Butter Pecan,6444
male,Not Black/Hispanic,1,1,1,None,0
male,Not Black/Hispanic,1,1,1,Chocolate,42000
male,Not Black/Hispanic,1,1,1,Vanilla,0
female,Hispanic,1,1,0,None,0
male,Hispanic,1,1,1,Chocolate,51000
female,Hispanic,1,1,0,Chocolate,15000
female,Hispanic,1,1,0,Butter Pecan,25000
male,Hispanic,1,1,0,Butter Pecan,0
female,Black,1,1,1,Chocolate,0
male,Black,1,1,0,Chocolate,0
female,Not Black/Hispanic,1,1,0,Vanilla,38000
male,Not Black/Hispanic,1,1,1,Chocolate,60000
female,Not Black/Hispanic,1,1,0,Chocolate,0
male,Hispanic,1,1,0,None,0
male,Hispanic,1,1,0,Vanilla,0
female,Not Black/Hispanic,1,1,0,Vanilla,0
female,Not Black/Hispanic,1,1,0,Chocolate,27000
female,Hispanic,1,1,0,Vanilla,17000
male,Not Black/Hispanic,1,0,0,Strawberry,0
female,Not Black/Hispanic,1,0,1,Vanilla,0
male,Not Black/Hispanic,1,0,0,Vanilla,0
female,Not Black/Hispanic,1,0,1,Chocolate,47000
male,Not Black/Hispanic,1,0,1,Chocolate,45000
female,Not Black/Hispanic,1,0,1,Vanilla,20000
female,Not Black/Hispanic,1,0,0,Strawberry,33000
female,Not Black/Hispanic,1,0,1,Chocolate,0
male,Not Black/Hispanic,1,0,0,Chocolate,0
female,Not Black/Hispanic,1,0,1,Vanilla,60000
female,Not Black/Hispanic,1,0,1,Strawberry,130254
female,Not Black/Hispanic,1,0,1,Vanilla,11000
male,Not Black/Hispanic,1,1,1,Chocolate,0
male,Black,1,1,0,Strawberry,15000
female,Not Black/Hispanic,1,1,0,Strawberry,0
male,Hispanic,1,1,0,Strawberry,36000
female,Not Black/Hispanic,1,1,0,Vanilla,0
female,Not Black/Hispanic,1,1,0,None,0
male,Not Black/Hispanic,1,1,0,Vanilla,20000
male,Not Black/Hispanic,1,1,0,Strawberry,0
female,Hispanic,1,1,0,Strawberry,6000
female,Black,1,1,0,Butter Pecan,3000
female,Hispanic,1,1,0,Chocolate,35000
male,Black,1,1,0,None,15000
male,Hispanic,1,1,0,Vanilla,0
female,Not Black/Hispanic,1,1,0,Vanilla,0
female,Not Black/Hispanic,1,1,0,Chocolate,25000
male,Not Black/Hispanic,1,1,0,Butter Pecan,2000
male,Not Black/Hispanic,1,1,0,Chocolate,0
female,Not Black/Hispanic,1,1,0,None,35000
male,Not Black/Hispanic,1,1,0,Butter Pecan,104353
female,Not Black/Hispanic,1,1,0,Strawberry,55000
female,Not Black/Hispanic,1,1,0,Butter Pecan,17000
female,Not Black/Hispanic,1,1,0,Chocolate,0
male,Not Black/Hispanic,1,1,0,Strawberry,37000
female,Not Black/Hispanic,1,1,1,Strawberry,0
female,Not Black/Hispanic,1,1,1,Strawberry,0
male,Hispanic,1,1,0,Vanilla,0
male,Hispanic,1,1,0,Vanilla,0
female,Hispanic,1,1,0,Strawberry,60000
male,Hispanic,1,1,0,Vanilla,35000
female,Hispanic,1,1,0,Chocolate,0
female,Hispanic,1,1,0,Chocolate,67000
male,Hispanic,1,1,0,Butter Pecan,32000
female,Hispanic,1,1,0,Strawberry,25000
female,Hispanic,1,1,0,Strawberry,12000
male,Hispanic,1,1,0,Vanilla,0
male,Mixed,1,1,1,Butter Pecan,28000
male,Not Black/Hispanic,1,1,0,Vanilla,0
female,Not Black/Hispanic,1,1,0,None,32000
male,Hispanic,1,1,1,Chocolate,13000
male,Hispanic,1,1,1,Chocolate,7000
female,Not Black/Hispanic,1,1,0,Vanilla,29000
male,Not Black/Hispanic,1,1,0,Strawberry,46000
female,Black,1,1,0,Strawberry,0
female,Mixed,1,1,0,Vanilla,0
male,Not Black/Hispanic,1,1,0,Chocolate,30000
female,Not Black/Hispanic,1,1,1,Vanilla,42000
male,Hispanic,1,1,0,Vanilla,40000
male,Hispanic,1,1,0,Strawberry,11000
male,Hispanic,1,1,0,Vanilla,0
male,Hispanic,1,1,0,Chocolate,38000
female,Hispanic,1,1,0,Vanilla,0
female,Not Black/Hispanic,1,1,1,Chocolate,40000
female,Hispanic,1,1,0,Vanilla,0
male,Not Black/Hispanic,1,1,0,Strawberry,25000
female,Not Black/Hispanic,1,1,0,Vanilla,0
male,Not Black/Hispanic,1,1,0,Chocolate,7000
female,Not Black/Hispanic,1,1,0,None,35000
female,Hispanic,1,1,1,Vanilla,26000
male,Hispanic,1,1,1,Chocolate,58000
female,Mixed,1,1,0,Chocolate,0
male,Hispanic,1,1,0,Vanilla,25000
female,Not Black/Hispanic,1,1,1,Vanilla,0
male,Hispanic,1,1,1,None,0
male,Not Black/Hispanic,1,1,0,None,26000
female,Not Black/Hispanic,1,1,0,Chocolate,35000
male,Not Black/Hispanic,1,1,0,Strawberry,0
male,Not Black/Hispanic,1,1,0,Chocolate,0
male,Hispanic,1,1,0,Strawberry,30000
female,Hispanic,1,1,0,Chocolate,17000
female,Not Black/Hispanic,1,1,0,Chocolate,0
male,Not Black/Hispanic,1,1,0,Chocolate,52000
female,Not Black/Hispanic,1,1,0,Chocolate,0
male,Not Black/Hispanic,1,1,0,Butter Pecan,50000
male,Not Black/Hispanic,1,1,0,Chocolate,25000
male,Not Black/Hispanic,1,1,0,Vanilla,27000
male,Not Black/Hispanic,1,1,0,Chocolate,0
male,Black,1,1,0,Chocolate,0
male,Black,1,1,0,Vanilla,18000
male,Black,1,1,0,Vanilla,0
male,Black,1,1,0,Chocolate,0
male,Not Black/Hispanic,1,1,0,Vanilla,25000
male,Hispanic,1,1,1,Vanilla,36000
female,Not Black/Hispanic,1,1,0,Chocolate,45000
female,Not Black/Hispanic,1,1,0,Vanilla,28000
male,Hispanic,1,1,0,Chocolate,30000
female,Not Black/Hispanic,1,1,0,Strawberry,0
female,Not Black/Hispanic,1,1,1,Vanilla,0
female,Not Black/Hispanic,1,1,0,Vanilla,0
female,Hispanic,1,1,0,Vanilla,0
female,Hispanic,1,1,0,Strawberry,0
female,Hispanic,1,1,0,Chocolate,4000
male,Hispanic,1,1,0,Strawberry,14000
female,Hispanic,1,1,0,Chocolate,15000
male,Hispanic,1,1,0,Strawberry,15000
male,Not Black/Hispanic,1,0,0,Vanilla,25000
male,Not Black/Hispanic,1,0,0,Chocolate,0
male,Not Black/Hispanic,1,0,0,Vanilla,0
male,Black,1,1,0,Chocolate,35000
male,Not Black/Hispanic,1,1,0,Chocolate,25000
male,Not Black/Hispanic,1,1,0,Vanilla,36000
female,Black,1,1,0,Butter Pecan,24000
male,Not Black/Hispanic,1,1,0,Vanilla,0
female,Not Black/Hispanic,1,1,1,Vanilla,0
male,Not Black/Hispanic,1,1,0,Chocolate,36000
female,Not Black/Hispanic,1,1,0,Vanilla,28000
female,Not Black/Hispanic,1,1,0,Chocolate,23000
female,Not Black/Hispanic,1,1,0,Strawberry,0
female,Not Black/Hispanic,1,1,0,Chocolate,0
female,Black,1,1,0,None,50000
female,Hispanic,1,1,1,Vanilla,500
male,Hispanic,1,1,0,Strawberry,15000
female,Hispanic,1,1,0,Vanilla,20000
female,Hispanic,1,1,0,Chocolate,0
male,Hispanic,1,1,0,Chocolate,32000
female,Not Black/Hispanic,1,1,0,Chocolate,21500
male,Not Black/Hispanic,1,1,0,Strawberry,12000
female,Not Black/Hispanic,1,1,1,Strawberry,0
female,Not Black/Hispanic,1,1,0,Chocolate,0
female,Not Black/Hispanic,1,1,0,Strawberry,0
female,Not Black/Hispanic,1,1,0,Chocolate,0
male,Not Black/Hispanic,1,1,0,Vanilla,0
female,Not Black/Hispanic,1,1,0,Vanilla,7000
female,Not Black/Hispanic,1,1,0,Chocolate,0
female,Not Black/Hispanic,1,1,0,Butter Pecan,50000
male,Not Black/Hispanic,1,1,0,Chocolate,0
female,Not Black/Hispanic,1,1,0,Chocolate,0
female,Not Black/Hispanic,1,1,0,Strawberry,0
male,Not Black/Hispanic,1,1,0,Strawberry,35000
female,Not Black/Hispanic,1,1,0,None,37000
female,Not Black/Hispanic,1,1,0,Strawberry,80471
male,Not Black/Hispanic,1,1,0,Chocolate,0
female,Not Black/Hispanic,1,1,0,Vanilla,0
male,Not Black/Hispanic,1,1,0,Butter Pecan,45000
female,Hispanic,1,1,0,Vanilla,0
male,Not Black/Hispanic,1,1,0,Vanilla,0
female,Not Black/Hispanic,1,1,0,Chocolate,0
female,Not Black/Hispanic,1,1,0,Vanilla,0
male,Not Black/Hispanic,1,1,0,Strawberry,58000
female,Not Black/Hispanic,1,1,0,Chocolate,32000
male,Not Black/Hispanic,1,1,0,Chocolate,0
male,Not Black/Hispanic,1,1,0,Vanilla,0
male,Not Black/Hispanic,1,1,0,Vanilla,400
female,Not Black/Hispanic,1,1,0,None,20000
female,Not Black/Hispanic,1,1,1,Chocolate,52000
male,Not Black/Hispanic,1,1,0,Vanilla,0
male,Not Black/Hispanic,1,1,0,Chocolate,5000
male,Not Black/Hispanic,1,1,0,Chocolate,0
female,Not Black/Hispanic,1,1,0,Chocolate,32000
male,Not Black/Hispanic,1,1,0,Chocolate,47000
female,Not Black/Hispanic,1,1,0,Chocolate,0
female,Not Black/Hispanic,1,1,0,Chocolate,56000
female,Not Black/Hispanic,1,1,0,Strawberry,23500
male,Black,1,1,0,Butter Pecan,53000
male,Not Black/Hispanic,1,0,0,Chocolate,68000
female,Not Black/Hispanic,1,0,0,Vanilla,0
female,Not Black/Hispanic,4,1,1,Butter Pecan,0
male,Not Black/Hispanic,4,1,0,Strawberry,2200
male,Not Black/Hispanic,4,1,0,Vanilla,0
male,Not Black/Hispanic,4,1,0,Butter Pecan,0
male,Not Black/Hispanic,4,1,0,Chocolate,0
male,Not Black/Hispanic,4,1,0,Chocolate,0
male,Not Black/Hispanic,4,1,0,Strawberry,3000
male,Hispanic,4,1,0,Chocolate,35000
male,Hispanic,4,1,0,Strawberry,13000
male,Hispanic,4,1,0,Strawberry,11000
male,Hispanic,4,1,0,Strawberry,9000
male,Not Black/Hispanic,4,1,0,Strawberry,50000
female,Hispanic,4,1,0,Vanilla,0
female,Hispanic,4,1,0,Chocolate,0
female,Hispanic,4,1,0,Vanilla,0
female,Hispanic,4,1,1,Strawberry,25000
female,Hispanic,4,1,0,Strawberry,4480
female,Hispanic,4,1,0,Vanilla,17000
male,Hispanic,4,1,0,Chocolate,3000
male,Hispanic,4,1,0,Vanilla,36000
female,Hispanic,4,1,0,Chocolate,0
male,Hispanic,4,1,0,Chocolate,50000
male,Hispanic,4,1,0,Strawberry,0
female,Hispanic,4,1,0,Butter Pecan,2000
female,Hispanic,4,1,0,Vanilla,27000
female,Hispanic,4,1,1,Strawberry,34000
female,Hispanic,4,1,0,Vanilla,0
female,Hispanic,4,1,0,Vanilla,35000
male,Hispanic,4,1,0,Vanilla,23000
female,Hispanic,4,1,0,Chocolate,0
male,Hispanic,4,1,0,Chocolate,0
male,Hispanic,4,1,0,None,0
female,Hispanic,4,1,0,Vanilla,0
male,Hispanic,4,1,0,Vanilla,52000
female,Hispanic,4,1,0,Strawberry,0
female,Not Black/Hispanic,4,1,0,Strawberry,0
male,Black,4,1,0,None,0
male,Black,4,1,0,Vanilla,32000
female,Black,4,1,0,Chocolate,0
male,Black,4,1,0,Vanilla,40000
female,Hispanic,4,1,0,Strawberry,0
male,Not Black/Hispanic,4,1,0,Vanilla,0
male,Hispanic,4,1,0,Vanilla,0
female,Not Black/Hispanic,4,1,1,Strawberry,25000
female,Not Black/Hispanic,4,1,0,Chocolate,0
male,Hispanic,4,1,1,Strawberry,0
male,Hispanic,4,1,0,Chocolate,38000
male,Hispanic,4,1,0,Vanilla,80471
female,Hispanic,4,1,0,Vanilla,5000
female,Hispanic,4,1,0,Chocolate,0
female,Not Black/Hispanic,4,1,0,Chocolate,0
female,Not Black/Hispanic,4,1,0,Vanilla,19000
male,Not Black/Hispanic,4,1,0,Vanilla,0
male,Hispanic,4,1,1,Chocolate,9000
male,Hispanic,4,1,0,Butter Pecan,4000
male,Hispanic,4,1,1,Chocolate,35000
male,Not Black/Hispanic,4,1,0,None,16000
male,Not Black/Hispanic,4,1,0,Chocolate,8000
male,Hispanic,4,1,0,Vanilla,0
male,Hispanic,4,1,0,Vanilla,0
male,Mixed,4,1,0,None,0
female,Mixed,4,1,0,None,0
male,Not Black/Hispanic,4,1,0,Strawberry,2000
female,Not Black/Hispanic,4,1,0,None,25000
female,Black,4,1,0,Strawberry,3500
male,Not Black/Hispanic,4,1,0,Chocolate,32000
male,Not Black/Hispanic,4,1,1,Strawberry,0
female,Not Black/Hispanic,4,1,1,Strawberry,0
female,Hispanic,4,1,0,Vanilla,0
male,Black,4,1,0,Vanilla,23000
female,Black,4,1,0,Vanilla,0
male,Hispanic,4,1,0,None,9600
female,Hispanic,4,1,0,None,0
male,Hispanic,4,1,0,Strawberry,9000
male,Black,4,1,0,Vanilla,10000
female,Black,4,1,0,None,0
female,Not Black/Hispanic,4,1,0,Strawberry,50000
female,Not Black/Hispanic,4,1,1,Chocolate,300
female,Not Black/Hispanic,4,1,0,Vanilla,40000
male,Not Black/Hispanic,4,1,0,Vanilla,0
male,Not Black/Hispanic,4,1,0,Chocolate,0
male,Not Black/Hispanic,4,1,0,Chocolate,0
male,Not Black/Hispanic,4,1,0,Chocolate,35000
male,Mixed,4,1,0,Strawberry,18000
female,Mixed,4,1,0,Chocolate,25000
female,Hispanic,4,1,0,Vanilla,44000
female,Not Black/Hispanic,4,1,0,Butter Pecan,43000
female,Hispanic,4,1,0,Strawberry,0
male,Hispanic,4,1,0,Vanilla,0
female,Hispanic,4,1,0,Vanilla,24000
male,Not Black/Hispanic,4,1,0,Chocolate,0
male,Not Black/Hispanic,4,1,1,Chocolate,38000
female,Hispanic,4,1,0,Vanilla,0
male,Hispanic,4,1,0,Strawberry,40000
female,Hispanic,4,1,1,Strawberry,0
male,Not Black/Hispanic,4,1,0,Vanilla,0
female,Hispanic,4,1,0,Vanilla,34000
female,Hispanic,4,1,0,Vanilla,0
female,Hispanic,4,1,0,Vanilla,0
male,Hispanic,4,1,0,Strawberry,0
female,Hispanic,4,1,0,Strawberry,2000
male,Hispanic,4,1,0,Strawberry,0
male,Hispanic,4,1,0,Strawberry,68000
female,Hispanic,4,1,1,Strawberry,0
male,Hispanic,4,1,0,Strawberry,0
female,Hispanic,4,1,0,Strawberry,25000
male,Hispanic,4,1,0,Strawberry,18000
male,Hispanic,4,1,1,Chocolate,50000
female,Hispanic,4,1,0,Strawberry,0
female,Hispanic,4,1,0,Strawberry,0
female,Hispanic,4,1,1,Strawberry,0
female,Hispanic,4,1,0,Butter Pecan,21000
male,Hispanic,4,1,0,Butter Pecan,25000
female,Hispanic,4,1,0,Butter Pecan,10000
female,Hispanic,4,1,0,Strawberry,0
male,Hispanic,4,1,1,Vanilla,25000
male,Hispanic,4,1,0,Chocolate,38000
male,Hispanic,4,1,1,Chocolate,40000
male,Hispanic,4,1,0,Strawberry,0
male,Hispanic,4,1,1,Vanilla,70000
female,Hispanic,4,1,0,Vanilla,0
female,Hispanic,4,1,0,None,12000
female,Hispanic,4,1,0,Vanilla,0
female,Hispanic,4,1,0,Vanilla,0
male,Hispanic,4,1,0,Vanilla,0
female,Hispanic,4,1,1,Strawberry,0
female,Hispanic,4,1,0,Vanilla,0
male,Hispanic,4,1,0,Vanilla,28000
female,Hispanic,4,1,0,Vanilla,4000
female,Hispanic,4,1,0,Vanilla,20000
female,Hispanic,4,1,1,Strawberry,0
female,Hispanic,4,1,0,Vanilla,0
male,Hispanic,4,1,0,Strawberry,18000
female,Hispanic,4,1,0,Vanilla,24000
female,Hispanic,4,1,0,Chocolate,0
female,Hispanic,4,1,0,Strawberry,55000
male,Hispanic,4,1,0,Chocolate,22000
male,Black,4,1,1,Chocolate,0
female,Hispanic,4,1,1,Butter Pecan,0
female,Not Black/Hispanic,4,1,0,Vanilla,0
female,Hispanic,4,1,0,Butter Pecan,0
female,Hispanic,4,1,0,Vanilla,800
male,Hispanic,4,1,0,Chocolate,18000
male,Black,4,1,0,Vanilla,31000
male,Hispanic,4,1,0,Strawberry,0
female,Hispanic,4,1,0,Strawberry,32000
male,Not Black/Hispanic,4,1,0,Chocolate,62000
female,Not Black/Hispanic,4,1,1,Chocolate,0
male,Not Black/Hispanic,4,1,0,Vanilla,55000
female,Not Black/Hispanic,4,1,0,Chocolate,0
female,Not Black/Hispanic,4,1,0,Strawberry,18000
male,Mixed,4,1,0,Strawberry,0
male,Mixed,4,1,0,Chocolate,0
female,Not Black/Hispanic,4,1,1,Vanilla,11000
male,Not Black/Hispanic,4,1,0,Chocolate,0
female,Hispanic,4,1,0,Chocolate,0
male,Hispanic,4,1,0,Vanilla,0
male,Hispanic,4,1,0,Chocolate,60000
female,Mixed,4,1,0,Strawberry,35000
female,Not Black/Hispanic,4,1,1,Butter Pecan,69342
female,Hispanic,4,1,0,Vanilla,0
male,Not Black/Hispanic,4,1,0,Chocolate,0
male,Not Black/Hispanic,4,1,0,Chocolate,0
male,Not Black/Hispanic,4,1,0,Chocolate,0
male,Not Black/Hispanic,4,1,0,Chocolate,32000
female,Not Black/Hispanic,4,1,0,Strawberry,0
male,Hispanic,4,1,1,Strawberry,6000
male,Not Black/Hispanic,4,1,0,Chocolate,0
female,Not Black/Hispanic,4,1,0,Chocolate,30000
male,Hispanic,4,1,0,Strawberry,25000
female,Black,4,1,0,Vanilla,45000
male,Hispanic,4,1,0,Strawberry,20000
male,Hispanic,4,1,0,Vanilla,28000
female,Hispanic,4,1,0,None,0
male,Hispanic,4,1,0,Strawberry,0
female,Hispanic,4,1,0,Strawberry,17000
female,Hispanic,4,1,0,Chocolate,22000
male,Hispanic,4,1,0,Strawberry,0
male,Hispanic,4,1,0,Strawberry,0
female,Hispanic,4,1,0,Strawberry,0
female,Hispanic,4,1,0,Vanilla,0
male,Hispanic,4,1,0,Strawberry,24000
male,Hispanic,4,1,0,Strawberry,10000
male,Hispanic,4,1,0,Strawberry,24000
female,Not Black/Hispanic,4,1,0,Vanilla,7000
male,Hispanic,4,1,0,Vanilla,112215
male,Hispanic,4,1,0,Vanilla,18000
male,Hispanic,4,1,0,Chocolate,0
male,Not Black/Hispanic,4,1,1,Strawberry,700
female,Not Black/Hispanic,4,1,0,Butter Pecan,25000
female,Hispanic,4,1,0,Chocolate,0
female,Not Black/Hispanic,4,1,0,None,11000
female,Hispanic,4,1,0,Strawberry,0
female,Hispanic,4,1,0,Strawberry,0
female,Not Black/Hispanic,4,1,0,Vanilla,40000
female,Hispanic,4,1,0,Vanilla,38000
female,Not Black/Hispanic,4,1,1,Butter Pecan,40000
male,Hispanic,4,1,0,Chocolate,40000
male,Not Black/Hispanic,4,1,0,Vanilla,0
female,Not Black/Hispanic,4,1,0,Strawberry,28000
male,Hispanic,4,1,0,Chocolate,0
female,Hispanic,4,1,0,Strawberry,0
female,Hispanic,4,1,0,Chocolate,0
female,Black,4,1,0,Vanilla,30000
male,Hispanic,4,1,0,Vanilla,10000
male,Not Black/Hispanic,4,1,1,Chocolate,0
male,Black,4,1,0,Chocolate,0
male,Not Black/Hispanic,4,1,1,Chocolate,0
male,Not Black/Hispanic,4,1,1,Chocolate,121993
female,Not Black/Hispanic,4,1,0,Vanilla,50000
male,Not Black/Hispanic,4,1,0,None,34000
male,Not Black/Hispanic,4,1,1,Vanilla,0
male,Not Black/Hispanic,4,1,1,Chocolate,24000
male,Not Black/Hispanic,4,1,0,Chocolate,0
male,Not Black/Hispanic,4,1,0,Chocolate,0
male,Not Black/Hispanic,4,1,0,Chocolate,25000
male,Not Black/Hispanic,4,1,0,None,34000
female,Not Black/Hispanic,4,1,0,Butter Pecan,24000
female,Hispanic,4,1,0,Butter Pecan,0
male,Not Black/Hispanic,4,1,0,Vanilla,32000
female,Not Black/Hispanic,4,1,0,Vanilla,8000
female,Not Black/Hispanic,4,1,0,Strawberry,400
male,Not Black/Hispanic,4,1,0,Vanilla,42000
female,Hispanic,4,1,0,Strawberry,15000
male,Not Black/Hispanic,4,1,0,Chocolate,0
male,Not Black/Hispanic,4,1,1,Butter Pecan,65000
male,Hispanic,4,1,0,Chocolate,22000
female,Hispanic,4,1,0,Chocolate,17000
male,Not Black/Hispanic,4,1,0,Chocolate,0
male,Not Black/Hispanic,4,1,0,Chocolate,16000
male,Not Black/Hispanic,4,1,0,Chocolate,0
female,Not Black/Hispanic,4,1,0,Butter Pecan,0
male,Not Black/Hispanic,4,1,0,Vanilla,26000
male,Not Black/Hispanic,4,1,0,Chocolate,29000
female,Hispanic,4,1,0,Strawberry,0
female,Hispanic,4,1,0,Chocolate,0
